transaction_id,account_id,date,amount,merchant_name,merchant_entity_id,payment_channel,personal_finance_category_primary,personal_finance_category_detailed,pending,iso_currency_code
TXN00000001,ACC-CUST000135-CHECKING-1,2024-01-01,100.46,Service #159,MERCH000159,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000002,ACC-CUST000113-CHECKING-1,2024-01-01,45.26,Walmart #126,MERCH000126,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000003,ACC-CUST000095-CHECKING-1,2024-01-01,69.87,Uber #136,MERCH000136,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000004,ACC-CUST000036-CREDIT_CARD-2,2024-01-01,26.94,Water Utility #030,MERCH000030,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000005,ACC-CUST000109-CHECKING-2,2024-01-01,92.18,Safeway #098,MERCH000098,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000006,ACC-CUST000087-CREDIT_CARD-1,2024-01-02,11.44,Hospital #097,MERCH000097,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000007,ACC-CUST000153-CHECKING-1,2024-01-02,30.44,Lowe's #001,MERCH000001,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000008,ACC-CUST000149-CREDIT_CARD-2,2024-01-02,-42.68,Water Utility #016,MERCH000016,online,GENERAL_SERVICES,UTILITIES,False,USD
TXN00000009,ACC-CUST000028-CHECKING-2,2024-01-02,30.87,Chevron #114,MERCH000114,online,GAS_STATIONS,GAS_STATIONS,False,USD
TXN00000010,ACC-CUST000018-CHECKING-1,2024-01-02,25.88,Bus Line #011,MERCH000011,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000011,ACC-CUST000179-CREDIT_CARD-1,2024-01-02,13.2,Target #155,MERCH000155,online,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE,False,USD
TXN00000012,ACC-CUST000117-CREDIT_CARD-2,2024-01-02,74.03,Chipotle #086,MERCH000086,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000013,ACC-CUST000170-CREDIT_CARD-2,2024-01-02,213.88,Pizza Hut #168,MERCH000168,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
TXN00000014,ACC-CUST000014-CHECKING-1,2024-01-02,60.8,Lyft #172,MERCH000172,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000015,ACC-CUST000116-CREDIT_CARD-2,2024-01-02,52.51,Taxi #070,MERCH000070,online,TRANSPORTATION,TRANSPORTATION,False,USD
TXN00000016,ACC-CUST000117-CREDIT_CARD-2,2024-01-03,132.53,Whole Foods #120,MERCH000120,online,GENERAL_MERCHANDISE,GROCERIES,False,USD
TXN00000017,ACC-CUST000170-CHECKING-1,2024-01-03,138.56,Netflix #185,MERCH000185,online,ENTERTAINMENT,ENTERTAINMENT,False,USD
TXN00000018,ACC-CUST000020-CHECKING-1,2024-01-03,21.48,Hospital #176,MERCH000176,other,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000019,ACC-CUST000047-CREDIT_CARD-1,2024-01-03,416.06,CVS Pharmacy #168,MERCH000168,online,GENERAL_SERVICES,HEALTHCARE,False,USD
TXN00000020,ACC-CUST000087-CHECKING-2,2024-01-03,-4.1,Starbucks #039,MERCH000039,online,FOOD_AND_DRINK,RESTAURANTS,False,USD
